,ztfname,File Name,Dereddened File Name,Date of spectrum,MJD of spectrum,t0,Phase of spectrum,t0_err,z,z_err,x1,x1_err,MWEBV,MWEBV_err,SN Type,SN Sub Type
0,ZTF18aabstmw,ZTF18aabstmw_20180307_LCO-FLOYDS_0.ascii,ZTF18aabstmw_20180307_LCO-FLOYDS_0_dereddened.csv,20180307,58184.0,58190.75025068,-6.750250680001045,0.10311272,0.02308648,0.0,-1.52761891,0.1102398,0.01119654,0.0,snia-pec,91bg
1,ZTF18aabstmw,ZTF18aabstmw_20180307_SEDm_0.ascii,ZTF18aabstmw_20180307_SEDm_0_dereddened.csv,20180307,58184.0,58190.75025068,-6.750250680001045,0.10311272,0.02308648,0.0,-1.52761891,0.1102398,0.01119654,0.0,snia-pec,91bg
2,ZTF18aasprui,ZTF18aasprui_20180804_P200_0.ascii,ZTF18aasprui_20180804_P200_0_dereddened.csv,20180804,58334.0,58347.54384172,-13.543841719998454,0.09370311,0.0380507,0.0,-2.01334808,0.04806861,0.01411338,0.0,snia-cosmo,norm/04gs
3,ZTF18aauizcr,ZTF18aauizcr_20180519_APO_0.ascii,ZTF18aauizcr_20180519_APO_0_dereddened.csv,20180519,58257.0,58266.11375089,-9.11375088999921,0.09612877,0.03391415,0.0,-1.82463869,0.11090141,0.01582634,0.0,snia-cosmo,norm
4,ZTF18aauizcr,ZTF18aauizcr_20180519_SEDm_0.ascii,ZTF18aauizcr_20180519_SEDm_0_dereddened.csv,20180519,58257.0,58266.11375089,-9.11375088999921,0.09612877,0.03391415,0.0,-1.82463869,0.11090141,0.01582634,0.0,snia-cosmo,norm
5,ZTF18aaxdrjn,ZTF18aaxdrjn_20180531_SEDm_0.ascii,ZTF18aaxdrjn_20180531_SEDm_0_dereddened.csv,20180531,58269.0,58279.1872702,-10.18727019999642,0.07283962,0.03388557,0.0,-2.03232144,0.09684172,0.0179138,0.0,snia-cosmo,norm
6,ZTF18aaxdrjn,ZTF18aaxdrjn_20180603_LT_0.ascii,ZTF18aaxdrjn_20180603_LT_0_dereddened.csv,20180603,58272.0,58279.1872702,-7.187270199996419,0.07283962,0.03388557,0.0,-2.03232144,0.09684172,0.0179138,0.0,snia-cosmo,norm
7,ZTF18aazgfkq,ZTF18aazgfkq_20180613_Xinglong-2.2m_0.ascii,ZTF18aazgfkq_20180613_Xinglong-2.2m_0_dereddened.csv,20180613,58282.0,58288.5328483,-6.532848299997568,0.26039566,0.02404901,0.0,-2.34836945,0.48441698,0.0237255,0.0,snia-cosmo,norm
8,ZTF18aazixbw,ZTF18aazixbw_20180611_Gemini-N_0.ascii,ZTF18aazixbw_20180611_Gemini-N_0_dereddened.csv,20180611,58280.0,58291.9341777,-11.934177700000873,0.04754866,0.05910831,0.0,-1.58381417,0.05994108,0.00906256,0.0,snia-cosmo,norm
9,ZTF18aazixbw,ZTF18aazixbw_20180611_NOT_0.ascii,ZTF18aazixbw_20180611_NOT_0_dereddened.csv,20180611,58280.0,58291.9341777,-11.934177700000873,0.04754866,0.05910831,0.0,-1.58381417,0.05994108,0.00906256,0.0,snia-cosmo,norm
10,ZTF18abnzocn,ZTF18abnzocn_20180821_P200_0.ascii,ZTF18abnzocn_20180821_P200_0_dereddened.csv,20180821,58351.0,58360.76375565,-9.76375564999762,0.13193687,0.03065788,0.0,-3.13736401,0.21623213,0.04783348,0.0,snia-pec,91bg
11,ZTF18absnqyo,ZTF18absnqyo_20180908_SEDm_0.ascii,ZTF18absnqyo_20180908_SEDm_0_dereddened.csv,20180908,58369.0,58374.10024873,-5.100248729999294,0.18724151,0.03861004,0.0,-3.4849276,0.32502577,0.12872159,0.0,snia-cosmo,norm
12,ZTF18abupgql,ZTF18abupgql_20180913_P200_0.ascii,ZTF18abupgql_20180913_P200_0_dereddened.csv,20180913,58374.0,58384.15270236,-10.152702359999239,0.11953398,0.0462104,0.0,-2.14640831,0.19063955,0.02688623,0.0,snia-cosmo,norm
